Kabupaten/kota,Ibu kota,Provinsi
Kabupaten Mamberamo Tengah,Kobakma,Papua Pegunungan
Kabupaten Nduga,Kenyam,Papua Pegunungan
Kabupaten Pegunungan Bintang,Oksibil,Papua Pegunungan
Kabupaten Tolikara,Karubaga,Papua Pegunungan
Kabupaten Yalimo,Elelim,Papua Pegunungan
Kabupaten Yahukimo,Sumohai (de jure) Dekai (de facto),Papua Pegunungan
Kabupaten Maybrat,Kumurkek,Papua Barat Daya
Kabupaten Raja Ampat,Waisai,Papua Barat Daya
Kabupaten Sorong,Aimas,Papua Barat Daya
Kabupaten Sorong Selatan,Teminabuan,Papua Barat Daya
Kabupaten Tambrauw,Fef,Papua Barat Daya
Kota Sorong,-,Papua Barat Daya
